Lijst Overzicht Reserveringen 

Datum: 21.09.2015 tot 22.05.2016 
Opleiding : 51230411 MA ING WET: COMPUTERWET. 
Studiejaar: alle 

Afdrukdatum: 14.12.2015 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
|Event ID|Event Nr| Week|Datum |Dagnaam |Aanvang |Einde |Ects D| Objid D|Code |Teken|Objid SM|Objectomschrijving |Objid SC|S|Status Lok |Status Lok |Mnemonic|Lokaal Nr| Obj.-ID|Cap G|Lokaal |Code |Tekst gebouw |Straat en huisnummer |Plaats |Postcode|Lnd|S|Status Les |Status Les |Lesgever |Pers.nr.|Pers.nr.|Tekst Vak |Opmerking |Afhandeling |Reeksinfo |Alg. omsch|Reeksinfo Accent |Opm. Accen|Afh. Accen| 
|53311867| 1|201540|28.09.2015|Maandag |14:00:00|16:00:00|G0Q57a|50307005|G0Q57A|K |50307063|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|BOKU |03.22 |50359127| 90 | |334-30|Instituut Burgerlijke Bouwkunde|Kasteelpark Arenberg 40 |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|D. Nuyens | 89685| 38396| Modellering en simulatie | | klassieke overheadprojector (glas) nodig| | | | | | 
|53323138| 1|201540|28.09.2015|Maandag |16:00:00|18:30:00|H00H2a|50359564|H02D2A|K |50290468|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200B |00.16 |50817846| 60 | |490-11|Instituut voor Wiskunde |Celestijnenlaan 200b |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|L. De Raedt | 10316| 10316| Uncertainty in Artificial Intelligence: Exercises | bewust dubbele boeking docent en set (verschillende Reeksen) |bewust dubbele boeking docenten | Group A | | | | | 
|53323138| 1|201540|28.09.2015|Maandag |16:00:00|18:30:00|H00H2a|50359564|H02D2A|K |50290468|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200B |00.16 |50817846| 60 | |490-11|Instituut voor Wiskunde |Celestijnenlaan 200b |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|T. De Laet | 89691| 46457| Uncertainty in Artificial Intelligence: Exercises | bewust dubbele boeking docent en set (verschillende Reeksen) |bewust dubbele boeking docenten | Group A | | | | | 
|53305993| 3|201540|29.09.2015|Dinsdag |08:30:00|10:30:00|H04H8a|50448142|H04H8B|K |50840604|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200S |00.05 |50075352| 40 | |490-17|Seminarielokalen |Celestijnenlaan 200s |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|F. Piessens | 18905| 18905| Formal Systems and their Applications: Lecture | | | | | | | | 
|53311797| 2|201540|30.09.2015|Woensdag |08:30:00|10:30:00|H04L2a|50448160|H04L2A|K |50448412|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200A |00.144 |50849433| 60 |Seminarielokaal |490-12|Computerwetenschappen |Celestijnenlaan 200a |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|M. Lobelle | 65202| 65202| Software for Real-Time and Embedded Systems: Lecture | | | | | | | | 
|53310004| 2|201540|30.09.2015|Woensdag |09:00:00|10:30:00|H02D1a|50286660|H02D1A|K |50290467|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200D |05.11 |50075318| 106 |200D.05.0011 |493-21|Instituut Natuurkunde Navorsing|Celestijnenlaan 200d |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|D. Roose | 6989| 6989| Genetic Algorithms and Evolutionary Computing: Lecture | | | | | | | | 
|53316209| 1|201540|30.09.2015|Woensdag |13:00:00|14:00:00|S0E06a|50670312|S0E06A|K |50670323|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|STUK |02.C004 |50074872| 304 |AUDITORIUM 02.C4 |106-01|Arenberginstituut - Stuk |Naamsestraat 96 |Leuven |3000 |BE |1|@08\QStatus@|Goedgekeurd|A. Cassiman | 13861| 13861| Interdisciplinary Perspectives on Development and Cultures | Moet op woensdag blijven staan owv gastsprekers die op DI en WOE in het land zijn en nadien vertrekken| | | | | | | 
|53310003| 1|201540|30.09.2015|Woensdag |14:00:00|16:00:00|H05N0a|50506605|H05N0A|P |50506610|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|BOKU |03.22 |50359127| 90 | |334-30|Instituut Burgerlijke Bouwkunde|Kasteelpark Arenberg 40 |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|P. De Causmaecker | 3471| 3471| Capita Selecta Computer Science: Artificial Intelligence | | | | | | | | 
|53310003| 1|201540|30.09.2015|Woensdag |14:00:00|16:00:00|H05N0a|50506605|H05N0A|P |50506610|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|BOKU |03.22 |50359127| 90 | |334-30|Instituut Burgerlijke Bouwkunde|Kasteelpark Arenberg 40 |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|J. Ramon | 4411| 4411| Capita Selecta Computer Science: Artificial Intelligence | | | | | | | | 
|53310003| 1|201540|30.09.2015|Woensdag |14:00:00|16:00:00|H05N0a|50506605|H05N0A|P |50506610|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|BOKU |03.22 |50359127| 90 | |334-30|Instituut Burgerlijke Bouwkunde|Kasteelpark Arenberg 40 |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|L. De Raedt | 10316| 10316| Capita Selecta Computer Science: Artificial Intelligence | | | | | | | | 
